name,description,price,cost,length,width,height,weight,quantity,sku,"category name","brand name","public notes","private notes"
"Eum eum quia qui reiciendis omnis quo excepturi.","Consequuntur vel provident itaque quibusdam incidunt. Similique voluptates sed explicabo. Sed aut sed ea. Voluptas sit sapiente consequatur amet.",79,0,5,10,15,20,100,1036854,,0,,
"Culpa neque maiores distinctio qui excepturi dignissimos doloremque sed.","Dolorem voluptatem officia ipsum sequi maiores quidem. Fugit tempore accusamus harum dolores rerum eum sequi.",21,0,5,10,15,20,100,1009419,,0,,
"Ut nostrum eligendi quas adipisci.","Et ut labore molestiae ducimus voluptatem sint. Eligendi in ipsum sunt sunt. Enim inventore et eveniet omnis illum voluptatem. Cumque assumenda suscipit similique et.",53,0,5,10,15,20,100,1056094,,0,,
"Dolor sunt qui rerum ut porro adipisci blanditiis.","Omnis voluptate dolores quae. Et voluptatibus aliquam et rerum.",11,0,5,10,15,20,100,1037104,,0,,
"test invoice product","test invoice product",12.99,12.99,0,0,0,0,3,invoiceproduct,,"test import brand",,
"test mike","test mike",12,12,0,0,0,0,12,mikie984,,"test import brand",,
"test import b","import product abc",19.99,12.99,5,5,5,5,100,importp,,"test import brand abc",,
"test import","import product abc",19.99,12.99,5,5,5,5,100,importp,,"test import brand abc",,
"test import","import product abc",19.99,12.99,5,5,5,5,100,importp,,"test import brand abc",,
"test import","import product",19.99,12.99,5,5,5,5,100,importp,,"test import brand",,
"test lexie","test lexie",15,12.99,0,0,0,0,5,lexie,,0,,
"test weight","test weight",14.99,14.99,5,10,15,20,5,testweight,,0,,
"test multiple combinations","test desc",15.99,15.99,5,10,15,20,5,abcd,,0,,
"test variation","test variation",15.99,15.99,5,10,15,20,120,test123,,0,,
"test mikes product","test mike",1699,1699,5,10,15,20,22,testmike,,0,,
